Accession,BPH1-1_log2_int,BPH1-2_log2_int,BPH1-3_log2_int,NT1-1_log2_int,NT1-2_log2_int,NT1-3_log2_int,T1-1_log2_int,T1-2_log2_int,T1-3_log2_int,T10-1_log2_int,T10-2_log2_int,T10-3_log2_int,MT10-1_log2_int,MT10-2_log2_int,MT10-3_log2_int
P55011,13.47917757,13.45296495,13.59525193,13.40924591,13.4519017,13.3569412,13.25873888,13.28542541,13.41404982,13.46569413,13.46569884,13.54562626,13.53771453,13.54774789,13.60490156
Q8N697,13.3955942,13.19102065,13.24199208,13.47082069,13.52490546,13.21320773,13.80686106,13.92296342,13.89164607,12.77465087,12.52400783,12.82849804,13.02168098,12.89026536,12.87954592
O75822,17.78943176,17.72127612,17.79302535,17.6161324,17.65698718,17.65467448,17.55485861,17.46240482,17.47548408,17.35014498,17.2966208,17.27986445,17.56023772,17.44708323,17.50237504
P36578,19.32365936,19.3943388,19.51497336,18.97651012,18.94064351,18.98776531,19.11742819,18.97744904,19.06538896,19.02194817,18.97395376,19.04521091,19.06757802,19.15140368,19.03991236
Q96P70,15.88926099,15.89030865,15.91631569,16.0648787,15.9837641,16.02568473,15.86173636,15.74357111,15.78633946,16.50472038,16.32228736,16.36889094,16.24164896,16.34588196,16.37586975
P28482,17.37218286,17.38098042,17.34293883,17.43748795,17.42952334,17.41751248,17.19477128,17.0923998,17.24047702,16.76372946,16.6168654,16.67723101,16.56525482,16.57934246,16.55087342
Q9UID3,13.99485094,14.04873427,14.12729683,14.03341659,14.01197046,13.94271755,13.88357657,13.83948923,13.88333313,13.45382363,13.51419137,13.47927924,13.53051607,13.42092078,13.4481873
Q9NR33,13.27505362,13.74883751,13.99243387,13.38664199,13.38283686,13.1689295,12.89994246,12.33983748,12.78842165,13.5872423,13.31001684,13.65385831,12.93517518,12.92813711,12.74083061
Q8WVM8,15.0660671,15.00254255,15.09568733,15.51200404,15.55115445,15.56300476,14.98889135,15.16164957,15.11097813,15.25308054,15.20815005,15.19389877,15.46271825,15.53621382,15.44163
Q6SPF0,12.57405064,12.34923423,12.48586955,12.02336799,12.19374579,12.24482315,11.59847594,12.05161171,11.86050576,12.12038045,12.32245633,12.289204,12.01939845,11.52635741,11.69080773
Q86X55,15.05336024,15.02440816,15.00219777,14.73354324,14.74011804,14.70446026,14.08856403,14.02695497,14.05331332,14.37864206,14.34157789,14.30850013,14.50169104,14.61507347,14.58522958
P51788,11.25139534,11.42867597,11.06085802,10.98688628,10.59820886,11.03439024,12.15718059,12.07299341,12.00060921,11.20270194,11.06358608,11.22013386,11.22508932,11.08721751,10.84852514
O00410,16.39388497,16.36322875,16.29090749,16.29142985,16.19723664,16.27233205,16.87797904,16.85995076,16.82940067,17.06898815,17.06419542,17.06757091,16.80910498,16.88427632,16.8769869
P23610,12.13738854,12.07210611,11.85375724,11.49864787,11.5305788,11.24835274,12.34213238,12.45869241,12.09047966,11.93762982,12.52284297,12.24615433,12.17468386,11.98972031,11.88582248
Q9Y2Z0,14.99460978,14.96483663,15.08361331,15.17737087,15.14647719,15.11880352,14.93107912,14.8064741,15.05820317,15.6213988,15.5962594,15.59390068,15.4373262,15.37648708,15.38912042
Q8WUQ7,11.71995774,11.64107799,11.62147499,10.96282601,10.80655768,11.07304363,11.4685935,11.5671832,11.45600737,11.27425362,11.33857484,11.49840677,11.16745892,11.09340193,11.08490802
Q7L5D6,14.58536674,14.53004659,14.67070586,14.78255805,14.72162916,14.70156172,14.74055751,14.77067422,14.7501443,14.98036275,15.13498776,15.19399057,14.75859823,14.80187972,14.70255929
P27361,14.79100768,14.80188753,14.8449411,15.16022502,15.1220805,15.20553154,15.12102022,14.85328031,15.0844289,14.62535497,14.38865416,14.49487745,14.87432004,14.93119144,14.91925674
A6NIH7,16.56670896,15.88478463,16.3907962,16.62547556,16.61418959,16.72870443,15.37722371,15.64622047,15.9618105,16.95557148,16.70094012,16.97993869,16.79333659,16.62339928,16.99759299
Q9Y2U8,15.19211754,15.17355014,15.15314765,15.14797401,15.11895161,15.14228494,15.36470921,15.31181669,15.2970496,14.26329994,14.27789236,14.26635332,14.38572066,14.37864773,14.43188438
